state,x,y
Andaman & Nicobar,166,-293
Andhra Pradesh,-80,-207
Arunachal Pradesh,230,138
Assam,187,79
Bihar,50,68
Chandigarh,-130,191
Chhattisgarh,-31,-54
Daman & Diu,-241,-70
Delhi,-123,136
Goa,-192,-198
Gujarat,-302,5
Haryana,-156,154
Himachal Pradesh,-110,220
Jammu & Kashmir,-193,279
Jharkhand,43,11
Karnataka,-169,-249
Kerala,-133,-333
Ladakh,-163,316
Lakshadweep,-293,-307
Madhya Pradesh,-148,2
Maharashtra,-207,-117
Manipur,259,28
Meghalaya,162,53
Mizoram,239,-19
Nagaland,276,66
Odisha,21,-90
Puducherry,-63,-277
Punjab,-210,193
Rajasthan,-274,89
Sikkim,114,110
Tamil Nadu,-98,-307
Telangana,-103,-141
Tripura,185,14
Uttar Pradesh,93,104
Uttarakhand,-55,181
West Bengal,120,-28
